model_state,family,method,train_oracle,K,iteration,gen_base_model,metric,n,mean,sd,sem,ci95_lo,ci95_hi,ref_state,paired_delta_vs_ref,dz_vs_ref,wilcoxon_p_vs_ref
L5_CSQ8_V2,PTO(DPO),DPO,CSQ8,5.0,2,meta-llama/Llama-3.2-1B,Q1Q2_Mean,96,2.538296568627451,1.2872234019530344,0.1313766883231011,2.2807982595141727,2.795794877740729,Base,0.1607843137254901,0.1505054921841718,0.1631032370419805
L5_CSQ8_V2,PTO(DPO),DPO,CSQ8,5.0,2,meta-llama/Llama-3.2-1B,Q1_Mean,96,2.5104166666666665,1.343324953175724,0.1371025289178595,2.241695709987662,2.779137623345671,Base,0.1499999999999999,0.1350944569369223,0.2816477463482069
L5_CSQ8_V2,PTO(DPO),DPO,CSQ8,5.0,2,meta-llama/Llama-3.2-1B,Q2_Mean,96,2.566176470588235,1.2538993995705183,0.1279755715720821,2.315344350306954,2.817008590869516,Base,0.1715686274509804,0.1583173946972684,0.1737951065047708
L5_CSQ8_V2,PTO(DPO),DPO,CSQ8,5.0,2,meta-llama/Llama-3.2-1B,WAI_Bond_Mean,96,2.9453125,1.025467239462347,0.1046613118593,2.740176328755772,3.150448671244228,Base,-0.09375,-0.1599005372667078,0.12853060034486
L5_CSQ8_V2,PTO(DPO),DPO,CSQ8,5.0,2,meta-llama/Llama-3.2-1B,WAI_Goal_Mean,96,2.5234375,1.2799455811828382,0.1306338988511673,2.267395058251712,2.779479941748288,Base,0.0260416666666666,0.0365658030756323,0.6745012647823599
L5_CSQ8_V2,PTO(DPO),DPO,CSQ8,5.0,2,meta-llama/Llama-3.2-1B,WAI_Task_Mean,96,2.567708333333333,1.305594826459263,0.1332517139851145,2.306534973922509,2.828881692744158,Base,-0.0182291666666666,-0.0261881792738514,0.6874592113921264
L5_CSQ8_V2,PTO(DPO),DPO,CSQ8,5.0,2,meta-llama/Llama-3.2-1B,WAI_TotalMean,96,2.6788194444444446,1.1858682489630268,0.1210321713386326,2.4415963886207246,2.9160425002681647,Base,-0.0286458333333333,-0.0474698250588522,0.8615780875536997
L5_CSQ8_V3,PTO(DPO),DPO,CSQ8,5.0,3,meta-llama/Llama-3.2-1B,CSQ8_Mean,96,2.231770833333333,1.2532824227365318,0.1279126016376494,1.9810621341235408,2.482479532543126,Base,0.0494791666666666,0.0638514446842961,0.5601539964049125
L5_CSQ8_V3,PTO(DPO),DPO,CSQ8,5.0,3,meta-llama/Llama-3.2-1B,MITI_GlobalMean,96,2.8229166666666665,1.161847817434449,0.118580596311696,2.5904986978957423,3.0553346354375908,Base,0.1380208333333333,0.1324825692296818,0.1829730296828349
L5_CSQ8_V3,PTO(DPO),DPO,CSQ8,5.0,3,meta-llama/Llama-3.2-1B,MI_Mean,96,2.571180555555556,1.3543831360945218,0.1382311499859185,2.300247501583155,2.842113609527956,Base,0.1006944444444444,0.1088454534876553,0.358105474254936
L5_CSQ8_V3,PTO(DPO),DPO,CSQ8,5.0,3,meta-llama/Llama-3.2-1B,Q1Q2_Mean,96,2.5643382352941173,1.2196254735600978,0.1244775036467723,2.320362328146444,2.808314142441791,Base,0.1868259803921568,0.1874708100749244,0.0678852670257271
L5_CSQ8_V3,PTO(DPO),DPO,CSQ8,5.0,3,meta-llama/Llama-3.2-1B,Q1_Mean,96,2.5729166666666665,1.2697682479526615,0.1295951791279921,2.318910115575802,2.826923217757531,Base,0.2125,0.2033467096654751,0.0572797188276252
L5_CSQ8_V3,PTO(DPO),DPO,CSQ8,5.0,3,meta-llama/Llama-3.2-1B,Q2_Mean,96,2.5557598039215685,1.195903582696031,0.1220563982988159,2.316529263255889,2.794990344587248,Base,0.1611519607843137,0.1599118117717667,0.0946368615360698
L5_CSQ8_V3,PTO(DPO),DPO,CSQ8,5.0,3,meta-llama/Llama-3.2-1B,WAI_Bond_Mean,96,3.0390625,1.0080779816587917,0.1028865281666158,2.837404904793433,3.240720095206567,Base,0.0,0.0,0.8901261806332293
L5_CSQ8_V3,PTO(DPO),DPO,CSQ8,5.0,3,meta-llama/Llama-3.2-1B,WAI_Goal_Mean,96,2.567708333333333,1.1862585847211229,0.12107200981512,2.3304071940956983,2.8050094725709687,Base,0.0703125,0.092022301780998,0.3585306660822526
L5_CSQ8_V3,PTO(DPO),DPO,CSQ8,5.0,3,meta-llama/Llama-3.2-1B,WAI_Task_Mean,96,2.6666666666666665,1.167919127216991,0.1192002467715959,2.4330341829943385,2.9002991503389945,Base,0.0807291666666666,0.1055611049112367,0.4056466404460961
L5_CSQ8_V3,PTO(DPO),DPO,CSQ8,5.0,3,meta-llama/Llama-3.2-1B,WAI_TotalMean,96,2.7578125,1.10117415570782,0.1123881166426763,2.5375317913803546,2.978093208619645,Base,0.0503472222222222,0.0732378688160077,0.5950851300713447
L5_CSQ8_V4,PTO(DPO),DPO,CSQ8,5.0,4,meta-llama/Llama-3.2-1B,CSQ8_Mean,96,2.25,1.2645209203072667,0.1290596259928081,1.997043133054096,2.502956866945904,Base,0.0677083333333333,0.0986207834680907,0.3833175641440703
L5_CSQ8_V4,PTO(DPO),DPO,CSQ8,5.0,4,meta-llama/Llama-3.2-1B,MITI_GlobalMean,96,2.7421875,1.1188887373545895,0.1141961035610703,2.518363137020302,2.966011862979698,Base,0.0572916666666666,0.0542542466146923,0.4268813947313469
L5_CSQ8_V4,PTO(DPO),DPO,CSQ8,5.0,4,meta-llama/Llama-3.2-1B,MI_Mean,96,2.545138888888889,1.4151393555800436,0.1444320556709214,2.262052059773883,2.8282257180038948,Base,0.0746527777777777,0.0837442707896528,0.3297695479178882
L5_CSQ8_V4,PTO(DPO),DPO,CSQ8,5.0,4,meta-llama/Llama-3.2-1B,Q1Q2_Mean,96,2.502389705882353,1.2571756750460603,0.1283099550375768,2.2509021940087024,2.753877217756004,Base,0.1248774509803921,0.1111049366563072,0.3312789920643749
L5_CSQ8_V4,PTO(DPO),DPO,CSQ8,5.0,4,meta-llama/Llama-3.2-1B,Q1_Mean,96,2.4729166666666664,1.2978102340129594,0.1324572023455741,2.213300550069341,2.732532783263992,Base,0.1125,0.0968340221290251,0.3442562002732104
L5_CSQ8_V4,PTO(DPO),DPO,CSQ8,5.0,4,meta-llama/Llama-3.2-1B,Q2_Mean,96,2.531862745098039,1.2416882036546066,0.1267292716077845,2.2834733727467813,2.780252117449297,Base,0.1372549019607843,0.1201890015452767,0.356300428505349
L5_CSQ8_V4,PTO(DPO),DPO,CSQ8,5.0,4,meta-llama/Llama-3.2-1B,WAI_Bond_Mean,96,3.0078125,0.991711124243027,0.1012160927765528,2.809428958157957,3.2061960418420434,Base,-0.03125,-0.0474781650649506,0.7261004320694113
L5_CSQ8_V4,PTO(DPO),DPO,CSQ8,5.0,4,meta-llama/Llama-3.2-1B,WAI_Goal_Mean,96,2.575520833333333,1.192145231166481,0.1216728131520906,2.337042119555236,2.813999547111431,Base,0.078125,0.1119212728127092,0.2366238950443574
L5_CSQ8_V4,PTO(DPO),DPO,CSQ8,5.0,4,meta-llama/Llama-3.2-1B,WAI_Task_Mean,96,2.645833333333333,1.1583033569262704,0.1182188413259259,2.414124404334519,2.877542262332148,Base,0.0598958333333333,0.0870574917358049,0.364359960097349
L5_CSQ8_V4,PTO(DPO),DPO,CSQ8,5.0,4,meta-llama/Llama-3.2-1B,WAI_TotalMean,96,2.743055555555556,1.0935527878456843,0.111610264042498,2.5242994380322594,2.9618116730788517,Base,0.0355902777777777,0.0571709580621669,0.5861177860287237
