judge,method,metric,n_iters,n_sig_K0_higher,n_sig_K5_higher,n_sig_K0_better,n_sig_K5_better,iters_sig_K0_higher,iters_sig_K5_higher,mean_delta_iters1toN,mean_dz_iters1toN,base_delta,base_dz,max_abs_dz,max_abs_dz_iter,max_abs_dz_delta,lower_better
claude-haiku-4-5,PTO,MICI_Warn_rate,11,0,0,0,0,,,-0.003451529900518871,-0.10374020698360709,-0.0009289350695600696,-0.03063572202636155,0.2295531831970788,5,-0.014341896529396528,True
claude-haiku-4-5,PTO,RtoQ,11,0,0,0,0,,,0.04355671619289446,0.044489875870528404,-0.14683538237561267,-0.26567672487179766,0.26567672487179766,0,-0.14683538237561267,False
gpt-4o-mini,GRPO,%CR,6,0,0,0,0,,,0.007908003007057185,0.03302054261320116,-0.0021530646530646554,-0.009111939467051864,0.09802387565770289,5,0.0251845699520118,False
gpt-4o-mini,GRPO,%MICO,6,1,0,1,0,5,,0.05133908736597341,0.18812848254135067,-0.03365386274353666,-0.12016418931633426,0.5044666107817878,5,0.13321282390675773,False
gpt-4o-mini,GRPO,B1_GI,6,2,0,2,0,"4,5",,0.3208333333333333,0.20723888674346114,0.22916666666666666,0.10965059814426116,0.5980341607887265,5,0.90625,False
gpt-4o-mini,GRPO,B1_GI_per_turn,6,0,0,0,0,,,0.0036190508855466303,0.04148959440932799,0.005067588553946915,0.03835695646695242,0.13965737384844842,4,0.012845828071495645,False
gpt-4o-mini,GRPO,B2_Persuade,6,0,1,0,1,,3,-0.125,-0.08353037710140401,0.125,0.08561686115234689,0.3763975611524304,3,-0.4791666666666667,False
gpt-4o-mini,GRPO,B2_Persuade_per_turn,6,0,2,0,2,,"3,5",-0.01987503189768384,-0.24097331656228765,0.010564783298916422,0.0958781781859563,0.5307090846338595,5,-0.0401501737523157,False
gpt-4o-mini,GRPO,B3_Q,6,1,0,1,0,5,,0.37916666666666665,0.12765824951867924,-0.16666666666666666,-0.02581011015387293,0.4209586123115817,5,1.125,False
gpt-4o-mini,GRPO,B3_Q_per_turn,6,0,0,0,0,,,-0.004721479196381186,-0.06157331171382863,-0.02454349654408124,-0.0866769872252045,0.2222130954891936,5,-0.02322644078238707,False
gpt-4o-mini,GRPO,B4_SR,6,1,0,1,0,5,,0.22916666666666666,0.10445403388682759,-0.19791666666666666,-0.06542962377508933,0.44171103595728184,5,0.9270833333333334,False
gpt-4o-mini,GRPO,B4_SR_per_turn,6,0,0,0,0,,,0.00876933763195794,0.07836566387350782,-0.01982003662845844,-0.13714227488855996,0.1802882786440612,5,0.01731469326058521,False
gpt-4o-mini,GRPO,B5_CR,6,1,0,1,0,5,,0.08958333333333335,0.0760189196483249,0.07291666666666667,0.03712425883612541,0.30005643820524147,5,0.3854166666666667,False
gpt-4o-mini,GRPO,B5_CR_per_turn,6,0,0,0,0,,,0.00257905787453001,0.024834799130192257,0.0060511253649314775,0.042312826861736506,0.05657371495287039,2,0.007053817735826164,False
gpt-4o-mini,GRPO,B6_AF,6,1,0,1,0,5,,0.12916666666666668,0.08553545461177121,0.10416666666666667,0.08612877519761605,0.3886069375981849,5,0.5520833333333334,False
