judge,metric,arm,method,K,iteration,n,mean,median,sd,iqr,share_ge4,share_ge45,share_eq5
claude-haiku-4-5,Q2,PTO_LA5,PTO,5,1,96,2.1605392156862746,2.1470588235294112,0.7212708167453108,1.3676470588235294,0.0,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA5,PTO,5,2,96,2.2199754901960786,2.235294117647059,0.6292942682302444,1.1911764705882355,0.0,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA5,PTO,5,3,96,2.474877450980392,2.5294117647058822,0.6445628636007883,0.882352941176471,0.0,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA5,PTO,5,4,96,2.6397058823529416,2.823529411764706,0.614120849783471,0.8235294117647056,0.0,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA5,PTO,5,5,96,2.6200980392156867,2.61764705882353,0.5631115695077402,0.7794117647058822,0.0,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA5,PTO,5,6,96,2.565563725490196,2.4411764705882355,0.6399764264272283,0.9117647058823533,0.0,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA5,PTO,5,7,96,2.7622549019607843,2.823529411764706,0.5667864578908168,0.7058823529411762,0.0,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA5,PTO,5,8,96,2.761029411764705,2.7941176470588234,0.6129075120150393,0.8235294117647056,0.0,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA5,PTO,5,9,96,2.792279411764705,2.823529411764706,0.5990311564119288,0.7794117647058818,0.0,0.0,0.0
claude-haiku-4-5,Q2,PTO_LA5,PTO,5,10,96,2.729779411764705,2.764705882352941,0.5464794778442936,0.7205882352941173,0.0,0.0,0.0
gpt-4o-mini,Q1,GRPO_LA0,GRPO,0,0,96,3.0208333333333335,3.2,1.2963037872242487,2.4000000000000004,0.3229166666666667,0.11458333333333333,0.07291666666666667
gpt-4o-mini,Q1,GRPO_LA0,GRPO,0,1,96,3.1770833333333335,3.4,1.2711767583138047,2.4000000000000004,0.3645833333333333,0.15625,0.10416666666666667
gpt-4o-mini,Q1,GRPO_LA0,GRPO,0,2,96,3.3020833333333335,3.5,1.278154851558059,2.4000000000000004,0.4166666666666667,0.20833333333333334,0.14583333333333334
gpt-4o-mini,Q1,GRPO_LA0,GRPO,0,3,96,3.935416666666667,4.2,0.9744071521933807,1.6,0.59375,0.3020833333333333,0.2916666666666667
gpt-4o-mini,Q1,GRPO_LA0,GRPO,0,4,96,3.8979166666666667,4.2,0.9434515764961032,1.4000000000000004,0.625,0.23958333333333334,0.23958333333333334
gpt-4o-mini,Q1,GRPO_LA0,GRPO,0,5,96,3.86875,4.0,1.0114411292283585,1.8499999999999996,0.5833333333333334,0.2916666666666667,0.2916666666666667
gpt-4o-mini,Q1,GRPO_LA0,GRPO,0,6,96,3.8104166666666663,4.0,0.9214952570534098,1.4000000000000004,0.53125,0.20833333333333334,0.20833333333333334
gpt-4o-mini,Q1,GRPO_LA0,GRPO,0,7,96,3.945833333333333,4.2,0.9319946540016844,1.6,0.6041666666666666,0.28125,0.2708333333333333
gpt-4o-mini,Q1,GRPO_LA0,GRPO,0,8,96,3.935416666666667,4.0,0.9769963816844777,1.65,0.5729166666666666,0.3333333333333333,0.3333333333333333
gpt-4o-mini,Q1,GRPO_LA0,GRPO,0,9,96,3.5291666666666663,3.4,0.9823619942359835,2.0000000000000004,0.3854166666666667,0.1875,0.16666666666666666
gpt-4o-mini,Q1,GRPO_LA0,GRPO,0,10,96,3.6062500000000006,3.6,1.1415421240815564,2.6,0.4375,0.2916666666666667,0.28125
gpt-4o-mini,Q1,GRPO_LA5,GRPO,5,0,96,2.9104166666666664,2.6,1.3364114688355109,2.8000000000000003,0.34375,0.13541666666666666,0.0625
gpt-4o-mini,Q1,GRPO_LA5,GRPO,5,1,96,3.172916666666667,3.4,1.3121680866868004,2.4000000000000004,0.375,0.17708333333333334,0.10416666666666667
gpt-4o-mini,Q1,GRPO_LA5,GRPO,5,2,96,3.360416666666667,3.4,1.188584223410504,2.4000000000000004,0.375,0.19791666666666666,0.15625
gpt-4o-mini,Q1,GRPO_LA5,GRPO,5,3,96,3.80625,4.0,1.0125333002970947,1.8499999999999996,0.5104166666666666,0.2708333333333333,0.25
gpt-4o-mini,Q1,GRPO_LA5,GRPO,5,4,96,4.1000000000000005,4.2,0.8228320798188093,1.4,0.65625,0.34375,0.2708333333333333
gpt-4o-mini,Q1,GRPO_LA5,GRPO,5,5,96,3.9874999999999994,4.4,1.0287703441743603,1.4,0.6666666666666666,0.3333333333333333,0.28125
gpt-4o-mini,Q1,PTO_LA0,PTO,0,0,96,2.922916666666667,2.6,1.3229535669670638,2.8000000000000003,0.2916666666666667,0.17708333333333334,0.11458333333333333
gpt-4o-mini,Q1,PTO_LA0,PTO,0,1,96,3.172916666666667,3.4,1.2631188773213762,2.4000000000000004,0.34375,0.1875,0.125
gpt-4o-mini,Q1,PTO_LA0,PTO,0,2,96,3.40625,3.5,1.2415450900093463,2.4000000000000004,0.4479166666666667,0.22916666666666666,0.1875
gpt-4o-mini,Q1,PTO_LA0,PTO,0,3,96,3.702083333333334,3.9,1.0543123642467203,1.6500000000000004,0.5,0.25,0.21875
