method,iteration,metric,contrast,primary_n,primary_delta,primary_dz,primary_ci_lo,primary_ci_hi,primary_p,primary_p_holm,judge_delta,judge_dz,judge_ci_lo,judge_ci_hi,judge_p,judge_p_holm,same_sign,judge_ci_excl0,favours_primary,favours_judge
PTO,8,Q1Q2,PTO_LA0_I8 − PTO_LA5_I8,96,0.07677696078431374,0.16562575709306843,-0.017464767156862737,0.1714460784313725,0.06953132637984479,0.6257819374186031,0.18578431372549023,0.3366397359170162,0.07321078431372555,0.2934160539215685,0.0004708952500568808,0.0047089525005688075,True,True,K0,K0
PTO,9,Q1Q2,PTO_LA0_I9 − PTO_LA5_I9,96,0.041237745098039236,0.07694419733473701,-0.06219669117647061,0.15251838235294113,0.8469587971738647,1.0,0.1874387254901961,0.28870352810447225,0.05739430147058821,0.3203538602941176,0.011624958575557504,0.09299966860446003,True,True,K0,K0
PTO,10,Q1Q2,PTO_LA0_I10 − PTO_LA5_I10,96,-0.04699754901960781,-0.09566621301885612,-0.14235600490196068,0.05424479166666657,0.08690946083826036,0.6952756867060829,0.1990808823529412,0.30781875524334984,0.06844209558823532,0.33157322303921566,0.032362563631031745,0.22653794541722222,False,True,K5,K0
PTO,0,Q1,PTO_LA0_Base − PTO_LA5_Base,96,-0.022916666666666693,-0.021737155509731654,-0.23124999999999998,0.19166666666666665,0.5180523277537671,1.0,-0.010416666666666649,-0.012397318689062228,-0.17499999999999996,0.15625000000000003,0.885330527250729,1.0,True,False,K5,K5
PTO,1,Q1,PTO_LA0_I1 − PTO_LA5_I1,96,0.06874999999999996,0.07603583804082185,-0.10838541666666672,0.24583333333333332,0.5270487471922681,1.0,0.05208333333333335,0.06368518176180539,-0.10625,0.21666666666666665,0.5174433017089224,1.0,True,False,K0,K0
PTO,2,Q1,PTO_LA0_I2 − PTO_LA5_I2,96,0.14375000000000002,0.1551271406018505,-0.04380208333333331,0.325,0.08170182684037146,0.8170182684037146,0.17291666666666664,0.2017163655985152,0.00416666666666667,0.3395833333333333,0.05020957434725652,0.5020957434725652,True,True,K0,K0
PTO,3,Q1,PTO_LA0_I3 − PTO_LA5_I3,96,0.10000000000000002,0.13224581031028718,-0.04796874999999999,0.25,0.273362858942782,1.0,0.14166666666666664,0.16318986618959994,-0.03124999999999999,0.3104166666666666,0.11952958415163693,0.9562366732130955,True,False,K0,K0
PTO,4,Q1,PTO_LA0_I4 − PTO_LA5_I4,96,0.06458333333333333,0.10100548957266688,-0.05416666666666666,0.1896354166666664,0.6247220013456081,1.0,0.11874999999999998,0.15994463734969067,-0.02291666666666668,0.2625520833333331,0.19155655315984166,1.0,True,False,K0,K0
PTO,5,Q1,PTO_LA0_I5 − PTO_LA5_I5,96,-0.056250000000000015,-0.10675243849216075,-0.15421875000000002,0.04583333333333334,0.4149437164552562,1.0,0.11041666666666665,0.16624162036703674,-0.018750000000000006,0.24791666666666665,0.09295331118462719,0.8365798006616447,False,False,K5,K0
PTO,6,Q1,PTO_LA0_I6 − PTO_LA5_I6,96,0.1729166666666666,0.2709577836977036,0.05203124999999993,0.31249999999999994,0.03801613138465255,0.418177445231178,0.31250000000000006,0.3788886068520947,0.14583333333333334,0.4791666666666667,0.0005669936628485905,0.0062369302913344955,True,True,K0,K0
PTO,7,Q1,PTO_LA0_I7 − PTO_LA5_I7,96,-0.050000000000000024,-0.06742643884587447,-0.20005208333333344,0.09166666666666662,0.444679127769961,1.0,-0.04999999999999998,-0.060540263104731554,-0.21875,0.10833333333333332,0.8088208019919712,1.0,True,False,K5,K5
PTO,8,Q1,PTO_LA0_I8 − PTO_LA5_I8,96,0.008333333333333337,0.01499173315488764,-0.1041666666666667,0.11880208333333306,0.7342000710488102,1.0,0.06458333333333333,0.10018344896773138,-0.06671875000000001,0.1854687499999997,0.23604287119200873,1.0,True,False,K0,K0
PTO,9,Q1,PTO_LA0_I9 − PTO_LA5_I9,96,-0.012500000000000002,-0.020516339240023093,-0.1313020833333334,0.11458333333333336,0.684898231448307,1.0,0.04583333333333334,0.05428628416192628,-0.12499999999999996,0.22291666666666665,0.6928335979880846,1.0,False,False,K5,K0
PTO,10,Q1,PTO_LA0_I10 − PTO_LA5_I10,96,-0.0854166666666667,-0.1387958104599394,-0.2083333333333334,0.04374999999999998,0.09367262609390796,0.8430536348451716,0.03541666666666666,0.041306525594239474,-0.13541666666666666,0.2104166666666667,0.8538891470268303,1.0,False,False,K5,K0
PTO,0,Q2,PTO_LA0_Base − PTO_LA5_Base,96,0.017156862745098037,0.015546389221737561,-0.196078431372549,0.23285845588235282,0.806047467206232,0.9132671131078638,0.0024509803921568354,0.0035790098010058894,-0.1268535539215687,0.13481924019607833,0.95106028151743,0.95106028151743,True,False,K0,K0
PTO,1,Q2,PTO_LA0_I1 − PTO_LA5_I1,96,0.09681372549019611,0.10320899345558199,-0.08765318627450981,0.27879901960784315,0.22372935674072036,0.8949174269628815,0.06801470588235287,0.10649533681578156,-0.05392156862745104,0.19546568627450975,0.337286927661795,0.67457385532359,True,False,K0,K0
PTO,2,Q2,PTO_LA0_I2 − PTO_LA5_I2,96,0.1727941176470588,0.20037201535977509,0.006096813725490181,0.34007352941176466,0.06638472239640236,0.3983083343784142,0.09926470588235294,0.15578795944166784,-0.026378676470588183,0.22797181372549002,0.11606910465749756,0.46427641862999025,True,False,K0,K0
PTO,3,Q2,PTO_LA0_I3 − PTO_LA5_I3,96,0.18137254901960778,0.25904219186542515,0.04900428921568622,0.3229166666666666,0.03856621494020468,0.26996350458143276,0.11887254901960782,0.20925529672990592,0.008578431372549005,0.22734374999999996,0.02485533002722921,0.12427665013614606,True,True,K0,K0
PTO,4,Q2,PTO_LA0_I4 − PTO_LA5_I4,96,0.1746323529411765,0.2916579072809404,0.061259191176470516,0.2971966911764705,0.015614646132308393,0.14053181519077554,0.12745098039215685,0.23321937831947,0.02326899509803919,0.23471200980392143,0.11637235711873566,0.46427641862999025,True,True,K0,K0
PTO,5,Q2,PTO_LA0_I5 − PTO_LA5_I5,96,0.05208333333333337,0.09795575618444709,-0.05269607843137247,0.1617800245098039,0.42002082630390936,0.9132671131078638,0.23590686274509806,0.4268743260920769,0.13295036764705886,0.3474264705882353,0.0002500532849186608,0.0017503729944306256,True,True,K0,K0
PTO,6,Q2,PTO_LA0_I6 − PTO_LA5_I6,96,0.3406862745098039,0.5205085295102837,0.21874999999999997,0.4816636029411761,5.003722134596942e-07,5.504094348056637e-06,0.3731617647058824,0.5779463336054895,0.2462775735294118,0.5030790441176469,6.847478079282385e-07,6.553876360980672e-06,True,True,K0,K0
PTO,7,Q2,PTO_LA0_I7 − PTO_LA5_I7,96,0.1372549019607844,0.2570583250607472,0.03491115196078438,0.24453124999999984,0.021508202770367073,0.17206562216293658,0.20588235294117654,0.3279261741294404,0.07838541666666668,0.332107843137255,0.0007645634641602723,0.004587380784961634,True,True,K0,K0
PTO,8,Q2,PTO_LA0_I8 − PTO_LA5_I8,96,0.14522058823529418,0.3300275983512289,0.061259191176470655,0.2371476715686274,0.002054915151949509,0.02054915151949509,0.30698529411764713,0.5435823468554248,0.1960171568627451,0.4172947303921569,6.553876360980672e-07,6.553876360980672e-06,True,True,K0,K0
PTO,9,Q2,PTO_LA0_I9 − PTO_LA5_I9,96,0.09497549019607854,0.18233954729946833,-0.004917279411764585,0.20281862745098053,0.11106879338713699,0.555343966935685,0.3290441176470588,0.5685099537466153,0.21260723039215695,0.4503676470588236,1.1869644647379847e-06,9.495715717903878e-06,True,True,K0,K0
