judge,K,iteration,metric,contrast,n,delta,dz,ci_lo,ci_hi,p,p_holm,p_holm_rubrics,favours
claude-haiku-4-5,5,5,Q1Q2,PTO_LA5_I5 − GRPO_LA5_I5,96,-0.21887254901960781,-0.3768552099222429,-0.3384237132352941,-0.09808363970588244,0.0005102644089346521,0.0030615864536079123,0.004592379680411868,GRPO
claude-haiku-4-5,5,0,Q1,PTO_LA5_Base − GRPO_LA5_Base,96,0.002083333333333317,0.0027360576387737974,-0.14583333333333334,0.15,0.8246747274330033,1.0,1.0,PTO
claude-haiku-4-5,5,1,Q1,PTO_LA5_I1 − GRPO_LA5_I1,96,-0.01250000000000003,-0.01240471901550898,-0.21458333333333335,0.18541666666666665,0.9050234599611588,1.0,1.0,GRPO
claude-haiku-4-5,5,2,Q1,PTO_LA5_I2 − GRPO_LA5_I2,96,-0.06458333333333334,-0.0765841290778442,-0.22505208333333335,0.09802083333333277,0.4083695389114095,1.0,1.0,GRPO
claude-haiku-4-5,5,3,Q1,PTO_LA5_I3 − GRPO_LA5_I3,96,-0.29791666666666666,-0.3585139527146467,-0.4645833333333333,-0.13536458333333362,0.001133323485285476,0.00566661742642738,0.009066587882283808,GRPO
claude-haiku-4-5,5,4,Q1,PTO_LA5_I4 − GRPO_LA5_I4,96,-0.33958333333333335,-0.41763339003261407,-0.4917708333333334,-0.16869791666666695,5.463178469052722e-05,0.00032779070814316336,0.000491686062214745,GRPO
claude-haiku-4-5,5,5,Q1,PTO_LA5_I5 − GRPO_LA5_I5,96,-0.27291666666666664,-0.3641203527789776,-0.4271354166666666,-0.12286458333333355,0.0012342578267200406,0.00566661742642738,0.009874062613760325,GRPO
claude-haiku-4-5,5,0,Q2,PTO_LA5_Base − GRPO_LA5_Base,96,-0.0036764705882352997,-0.005974705696390428,-0.11888786764705883,0.11580882352941176,0.9706235973679328,0.9706235973679328,1.0,GRPO
claude-haiku-4-5,5,1,Q2,PTO_LA5_I1 − GRPO_LA5_I1,96,-0.056985294117647044,-0.0794588423224696,-0.20036764705882348,0.08639705882352937,0.37166336195148586,0.7433267239029717,1.0,GRPO
claude-haiku-4-5,5,2,Q2,PTO_LA5_I2 − GRPO_LA5_I2,96,-0.09252450980392157,-0.14545225673916226,-0.21813725490196076,0.03308823529411762,0.16672223951662735,0.6085130687968902,1.0,GRPO
claude-haiku-4-5,5,3,Q2,PTO_LA5_I3 − GRPO_LA5_I3,96,-0.17401960784313722,-0.290650387669484,-0.29411764705882343,-0.06309742647058833,0.010190865471220946,0.05095432735610473,0.04510258854394493,GRPO
